Time,Prey,Predator
0.00,100.00000,8.00000
0.50,-40.00000,-14.40000
1.00,-163.20000,105.75360
1.50,3255.95750,15494.81524
2.00,-10086184.83998,-7032760674.49935
2.50,-14186744831765562.00000,4489739151839896249827328.00000
3.00,12738956741668029294753191394149853560832.00000,2573756677649778506212227801405838455945146581869917987586179072.00000
3.50,-6557394996031951539609552708294545313765392217101134377662583518316546968962946464666941370142767972352.00000,-759471262156101490793274971064412119646838870981481994733364739766463022405404793773892736995022178613451869071488641587413908266883989081864800907169029890517237760.00000
4.00,-996030610818498060939925790313855160395567665940263093410858959607958745151830322839264378558499656369383342021078766981459257086498132788228551283095107435545378205244808677203886112236874807751746476428315762330672545452581811454639430953774048946192069871326461952.00000,inf
4.50,inf,-nan
5.00,-nan,-nan
5.50,-nan,-nan
6.00,-nan,-nan
6.50,-nan,-nan
7.00,-nan,-nan
7.50,-nan,-nan
8.00,-nan,-nan
8.50,-nan,-nan
9.00,-nan,-nan
9.50,-nan,-nan
10.00,-nan,-nan
10.50,-nan,-nan
11.00,-nan,-nan
11.50,-nan,-nan
12.00,-nan,-nan
12.50,-nan,-nan
13.00,-nan,-nan
13.50,-nan,-nan
14.00,-nan,-nan
14.50,-nan,-nan
15.00,-nan,-nan
15.50,-nan,-nan
16.00,-nan,-nan
16.50,-nan,-nan
17.00,-nan,-nan
17.50,-nan,-nan
18.00,-nan,-nan
18.50,-nan,-nan
19.00,-nan,-nan
19.50,-nan,-nan
20.00,-nan,-nan
20.50,-nan,-nan
21.00,-nan,-nan
21.50,-nan,-nan
22.00,-nan,-nan
22.50,-nan,-nan
23.00,-nan,-nan
23.50,-nan,-nan
24.00,-nan,-nan
24.50,-nan,-nan
25.00,-nan,-nan
25.50,-nan,-nan
26.00,-nan,-nan
26.50,-nan,-nan
27.00,-nan,-nan
27.50,-nan,-nan
28.00,-nan,-nan
28.50,-nan,-nan
29.00,-nan,-nan
29.50,-nan,-nan
30.00,-nan,-nan
30.50,-nan,-nan
31.00,-nan,-nan
31.50,-nan,-nan
32.00,-nan,-nan
32.50,-nan,-nan
33.00,-nan,-nan
33.50,-nan,-nan
34.00,-nan,-nan
34.50,-nan,-nan
35.00,-nan,-nan
35.50,-nan,-nan
36.00,-nan,-nan
36.50,-nan,-nan
37.00,-nan,-nan
37.50,-nan,-nan
38.00,-nan,-nan
38.50,-nan,-nan
39.00,-nan,-nan
39.50,-nan,-nan
40.00,-nan,-nan
40.50,-nan,-nan
41.00,-nan,-nan
41.50,-nan,-nan
42.00,-nan,-nan
42.50,-nan,-nan
43.00,-nan,-nan
43.50,-nan,-nan
44.00,-nan,-nan
44.50,-nan,-nan
45.00,-nan,-nan
45.50,-nan,-nan
46.00,-nan,-nan
46.50,-nan,-nan
47.00,-nan,-nan
47.50,-nan,-nan
48.00,-nan,-nan
48.50,-nan,-nan
49.00,-nan,-nan
49.50,-nan,-nan
50.00,-nan,-nan
50.50,-nan,-nan
51.00,-nan,-nan
51.50,-nan,-nan
52.00,-nan,-nan
52.50,-nan,-nan
53.00,-nan,-nan
53.50,-nan,-nan
54.00,-nan,-nan
54.50,-nan,-nan
55.00,-nan,-nan
55.50,-nan,-nan
56.00,-nan,-nan
56.50,-nan,-nan
57.00,-nan,-nan
57.50,-nan,-nan
58.00,-nan,-nan
58.50,-nan,-nan
59.00,-nan,-nan
59.50,-nan,-nan
60.00,-nan,-nan
60.50,-nan,-nan
61.00,-nan,-nan
61.50,-nan,-nan
62.00,-nan,-nan
62.50,-nan,-nan
63.00,-nan,-nan
63.50,-nan,-nan
64.00,-nan,-nan
64.50,-nan,-nan
65.00,-nan,-nan
65.50,-nan,-nan
66.00,-nan,-nan
66.50,-nan,-nan
67.00,-nan,-nan
67.50,-nan,-nan
68.00,-nan,-nan
68.50,-nan,-nan
69.00,-nan,-nan
69.50,-nan,-nan
70.00,-nan,-nan
70.50,-nan,-nan
71.00,-nan,-nan
71.50,-nan,-nan
72.00,-nan,-nan
72.50,-nan,-nan
73.00,-nan,-nan
73.50,-nan,-nan
74.00,-nan,-nan
74.50,-nan,-nan
75.00,-nan,-nan
75.50,-nan,-nan
76.00,-nan,-nan
76.50,-nan,-nan
77.00,-nan,-nan
77.50,-nan,-nan
78.00,-nan,-nan
78.50,-nan,-nan
79.00,-nan,-nan
79.50,-nan,-nan
80.00,-nan,-nan
80.50,-nan,-nan
81.00,-nan,-nan
81.50,-nan,-nan
82.00,-nan,-nan
82.50,-nan,-nan
83.00,-nan,-nan
83.50,-nan,-nan
84.00,-nan,-nan
84.50,-nan,-nan
85.00,-nan,-nan
85.50,-nan,-nan
86.00,-nan,-nan
86.50,-nan,-nan
87.00,-nan,-nan
87.50,-nan,-nan
88.00,-nan,-nan
88.50,-nan,-nan
89.00,-nan,-nan
89.50,-nan,-nan
90.00,-nan,-nan
90.50,-nan,-nan
91.00,-nan,-nan
91.50,-nan,-nan
92.00,-nan,-nan
92.50,-nan,-nan
93.00,-nan,-nan
93.50,-nan,-nan
94.00,-nan,-nan
94.50,-nan,-nan
95.00,-nan,-nan
95.50,-nan,-nan
96.00,-nan,-nan
96.50,-nan,-nan
97.00,-nan,-nan
97.50,-nan,-nan
98.00,-nan,-nan
98.50,-nan,-nan
99.00,-nan,-nan
99.50,-nan,-nan
100.00,-nan,-nan
