Time,dx,dy
0.00,-0.30000,-0.32000
1.00,-0.09800,-0.30173
2.00,0.00654,-0.24573
3.00,0.08138,-0.18349
4.00,0.15556,-0.12423
5.00,0.24315,-0.06786
6.00,0.35002,-0.00929
7.00,0.46924,0.06099
8.00,0.56411,0.15720
9.00,0.53659,0.29142
10.00,0.21468,0.43333
11.00,-0.46837,0.42431
12.00,-0.98478,0.11426
13.00,-0.73388,-0.20676
14.00,-0.32249,-0.31803
15.00,-0.10863,-0.30505
16.00,0.00020,-0.25040
17.00,0.07598,-0.18813
18.00,0.14960,-0.12858
19.00,0.23587,-0.07211
20.00,0.34129,-0.01398
21.00,0.46033,0.05498
22.00,0.55946,0.14867
23.00,0.54651,0.28007
24.00,0.25302,0.42489
25.00,-0.41110,0.43562
26.00,-0.97215,0.14387
27.00,-0.76923,-0.18996
28.00,-0.34627,-0.31539
29.00,-0.11982,-0.30816
30.00,-0.00632,-0.25503
31.00,0.07058,-0.19280
32.00,0.14372,-0.13294
33.00,0.22871,-0.07636
34.00,0.33266,-0.01861
35.00,0.45134,0.04909
36.00,0.55424,0.14035
37.00,0.55486,0.26886
38.00,0.28898,0.41576
39.00,-0.35356,0.44493
40.00,-0.95419,0.17330
41.00,-0.80375,-0.17179
42.00,-0.37139,-0.31202
43.00,-0.13162,-0.31105
44.00,-0.01301,-0.25963
45.00,0.06516,-0.19748
46.00,0.13792,-0.13733
47.00,0.22166,-0.08060
48.00,0.32413,-0.02319
49.00,0.44229,0.04335
50.00,0.54850,0.13227
51.00,0.56172,0.25782
52.00,0.32256,0.40605
53.00,-0.29613,0.45226
54.00,-0.93101,0.20231
55.00,-0.83696,-0.15225
56.00,-0.39786,-0.30788
57.00,-0.14408,-0.31368
58.00,-0.01992,-0.26418
59.00,0.05972,-0.20219
60.00,0.13218,-0.14174
61.00,0.21472,-0.08484
62.00,0.31571,-0.02772
63.00,0.43321,0.03772
64.00,0.54228,0.12439
65.00,0.56718,0.24696
66.00,0.35377,0.39585
67.00,-0.23919,0.45768
68.00,-0.90280,0.23066
69.00,-0.86836,-0.13134
70.00,-0.42570,-0.30291
71.00,-0.15724,-0.31603
72.00,-0.02705,-0.26867
73.00,0.05425,-0.20691
74.00,0.12650,-0.14618
75.00,0.20790,-0.08908
76.00,0.30738,-0.03221
77.00,0.42411,0.03222
78.00,0.53562,0.11673
79.00,0.57130,0.23629
80.00,0.38263,0.38523
81.00,-0.18307,0.46124
82.00,-0.86980,0.25809
83.00,-0.89741,-0.10907
84.00,-0.45491,-0.29703
85.00,-0.17118,-0.31806
86.00,-0.03444,-0.27310
87.00,0.04873,-0.21164
88.00,0.12088,-0.15064
89.00,0.20118,-0.09333
90.00,0.29917,-0.03665
91.00,0.41499,0.02682
92.00,0.52857,0.10928
93.00,0.57416,0.22584
94.00,0.40915,0.37429
95.00,-0.12808,0.46304
96.00,-0.83233,0.28439
97.00,-0.92357,-0.08548
98.00,-0.48545,-0.29018
99.00,-0.18594,-0.31975
100.00,-0.04211,-0.27745
